Acc_x (mg),Acc_y (mg),Acc_z (mg),Gyro_x(rad/s),Gyro_y(rad/s),Gyro_z(rad/s),dt(s),Roll(degree),Pitch(degree),Yaw(degree)
178.86774,85.369812,-1021.714806,0.351265,0.047216,0.06488,0.002425,170.450922,-5.586682,82.224904
183.931186,88.252891,-1024.923564,0.329731,0.01351,0.072818,0.00245,170.519073,-5.621587,82.211286
193.997072,89.685582,-1029.161778,0.306975,-0.033811,0.069249,0.00245,170.583377,-5.652473,82.197113
203.208882,89.679651,-1032.609521,0.285747,-0.073915,0.057647,0.00245,170.644361,-5.679943,82.183644
210.468521,89.461089,-1035.417866,0.262991,-0.09542,0.043661,0.00245,170.70181,-5.705964,82.171642
212.664714,90.910724,-1035.453822,0.245427,-0.101616,0.025266,0.002425,170.755498,-5.731276,82.162202
212.969741,87.029721,-1030.661958,0.227864,-0.104552,0.004341,0.00245,170.807517,-5.755897,82.155457
209.126403,81.229016,-1028.63881,0.211981,-0.11682,-0.018929,0.00245,170.858471,-5.777189,82.151528
206.320156,74.720767,-1024.4005,0.195487,-0.136785,-0.044161,0.00245,170.90844,-5.794512,82.150504
202.171791,74.375418,-1023.729569,0.180062,-0.162976,-0.069599,0.002425,170.955585,-5.806547,82.152414
201.195705,75.721704,-1021.721956,0.164178,-0.174387,-0.092512,0.002475,170.99988,-5.815859,82.157472
204.306979,76.913246,-1021.191838,0.149517,-0.155591,-0.11179,0.002425,171.040842,-5.828648,82.165517
202.720839,75.54277,-1022.82916,0.135772,-0.100079,-0.125752,0.00245,171.079959,-5.847971,82.176814
200.585652,70.155656,-1018.829177,0.118208,-0.003085,-0.13265,0.002475,171.117774,-5.880077,82.19122
191.983895,62.532203,-1010.904797,0.103547,0.109852,-0.138633,0.002425,171.155045,-5.925153,82.208306
179.416789,55.735931,-999.026746,0.092245,0.205536,-0.143956,0.00245,171.192274,-5.980095,82.228193
165.751586,55.85576,-982.706796,0.085525,0.26243,-0.157122,0.00245,171.227738,-6.038902,82.251147
151.049292,58.304362,-968.03377,0.083235,0.283659,-0.174732,0.00245,171.261333,-6.095977,82.27709
144.09468,54.243767,-960.338965,0.090413,0.288646,-0.195995,0.00245,171.29661,-6.151131,82.305947
132.076623,54.040739,-956.000319,0.104463,0.286971,-0.214271,0.002425,171.333325,-6.201225,82.336933
119.99756,56.661397,-954.884361,0.124165,0.294536,-0.226458,0.00245,171.371574,-6.248309,82.3702
110.480722,57.840419,-957.239584,0.149517,0.313946,-0.231631,0.00245,171.412686,-6.294478,82.40461
95.900439,57.653389,-959.915211,0.177007,0.338843,-0.231439,0.00245,171.457491,-6.338939,82.439473
78.025866,52.991325,-963.013838,0.203276,0.357877,-0.224307,0.002425,171.507219,-6.379455,82.473144
65.519766,51.404451,-969.338825,0.233057,0.352723,-0.217046,0.00245,171.561807,-6.415453,82.50597
52.708638,50.393912,-975.716617,0.257493,0.316096,-0.208694,0.002475,171.620457,-6.442521,82.53714
43.496828,48.420555,-985.202639,0.277958,0.260188,-0.199062,0.00245,171.682451,-6.458334,82.565356
39.104441,43.423209,-998.092351,0.292161,0.192353,-0.186736,0.002425,171.747917,-6.463104,82.589963
34.651049,38.397249,-1011.928689,0.300255,0.126163,-0.173397,0.00245,171.816646,-6.457725,82.611467
32.027818,38.063379,-1024.664508,0.303157,0.06607,-0.158628,0.00245,171.886027,-6.443437,82.629698
31.600781,47.389382,-1035.57325,0.299492,0.013001,-0.139701,0.00245,171.952149,-6.422025,82.644578
35.749146,56.908251,-1045.43418,0.287121,-0.029562,-0.116742,0.00245,172.013827,-6.396469,82.655768
36.3592,63.428171,-1052.928122,0.270932,-0.068538,-0.091686,0.002425,172.071179,-6.366312,82.662848
41.056613,71.617041,-1056.584264,0.252147,-0.104801,-0.063484,0.00245,172.123997,-6.333167,82.665702
48.560273,75.541246,-1064.499042,0.227101,-0.136682,-0.034568,0.00245,172.1725,-6.298507,82.664062
63.201562,68.506358,-1068.968803,0.195792,-0.154518,-0.005339,0.00245,172.219027,-6.266465,82.657802
77.171791,67.242902,-1072.39819,0.165858,-0.146654,0.02333,0.00245,172.261948,-6.240328,82.647686
90.104929,62.091102,-1071.538723,0.131037,-0.123559,0.047258,0.002425,172.301425,-6.221963,82.634647
98.401659,64.610014,-1061.172811,0.100951,-0.094436,0.062873,0.00245,172.335843,-6.210642,82.620005
110.236701,69.116773,-1050.465976,0.071628,-0.074613,0.073327,0.00245,172.36449,-6.206168,82.604471
121.095656,67.298546,-1038.172267,0.048872,-0.06876,0.075797,0.00245,172.390107,-6.206276,82.588688
127.318204,64.986718,-1032.323085,0.035432,-0.064348,0.071028,0.00245,172.414205,-6.209021,82.573607
134.0898,61.319196,-1022.029647,0.023825,-0.054294,0.066955,0.002425,172.437388,-6.215563,82.559317
137.445095,64.838195,-1015.126163,0.023672,-0.042988,0.0649,0.0025,172.459121,-6.224905,82.545317
141.959492,71.071599,-1012.849539,0.025505,-0.030559,0.068757,0.002425,172.479007,-6.237397,82.531586
150.134212,73.426821,-1011.670517,0.030087,-0.005944,0.077511,0.00245,172.498723,-6.255981,82.517056
158.308931,71.433795,-1014.393771,0.037265,0.031448,0.088634,0.00245,172.520098,-6.282243,82.501587
160.688141,67.835733,-1014.548418,0.046428,0.075451,0.098327,0.002425,172.54379,-6.315182,82.485586
165.202538,61.883202,-1014.816675,0.05437,0.107979,0.106114,0.00245,172.570413,-6.354167,82.468736
167.886774,55.423237,-1016.394507,0.05941,0.119347,0.105799,0.00245,172.599618,-6.395277,82.4519
169.838946,52.335526,-1016.053487,0.060479,0.110459,0.100891,0.00245,172.629716,-6.435464,82.435471
175.085408,56.564891,-1017.254631,0.058799,0.087854,0.090256,0.00245,172.657986,-6.473621,82.42026
181.124939,62.215277,-1019.438358,0.054828,0.064811,0.077478,0.002425,172.683619,-6.50967,82.406728
183.626159,67.930891,-1023.23597,0.048719,0.046847,0.062441,0.00245,172.706403,-6.543441,82.395054
186.615422,66.927789,-1024.035193,0.043374,0.034234,0.045992,0.00245,172.728405,-6.57585,82.38542
185.517326,64.80647,-1025.409998,0.03589,0.026168,0.028884,0.00245,172.749675,-6.606261,82.377958
180.758907,66.271543,-1023.374522,0.02413,0.011453,0.00802,0.002425,172.768415,-6.632676,82.373239
179.172767,73.104717,-1022.586408,0.008247,-0.006561,-0.0155,0.00245,172.782354,-6.655628,82.371717
175.878477,80.217258,-1021.920752,-0.009316,-0.027058,-0.039132,0.00245,172.791214,-6.674189,82.373402
171.303075,86.688236,-1019.588405,-0.029018,-0.039963,-0.060356,0.00245,172.794899,-6.689174,82.378072
164.958516,86.917811,-1016.025546,-0.048413,-0.046693,-0.079817,0.002425,172.795523,-6.70106,82.385278
155.441679,85.003384,-1011.336374,-0.06674,-0.054532,-0.096558,0.002475,172.793537,-6.70875,82.394833
144.338702,81.683373,-1003.593188,-0.087053,-0.074601,-0.108638,0.002425,172.789774,-6.710432,82.405384
136.346999,83.141954,-995.919751,-0.109045,-0.105934,-0.12085,0.002475,172.781771,-6.705189,82.417425
132.259639,88.708195,-988.661412,-0.128441,-0.140806,-0.129343,0.00245,172.769281,-6.694093,82.430123
132.015617,99.553776,-984.676402,-0.146768,-0.158831,-0.130747,0.00245,172.750709,-6.68057,82.443106
132.747682,104.116161,-979.282699,-0.163567,-0.14534,-0.12272,0.002425,172.728644,-6.669735,82.455245
131.954612,102.20183,-969.517969,-0.174563,-0.105156,-0.108118,0.00245,172.705313,-6.664785,82.466135
128.477306,94.076121,-960.520833,-0.18052,-0.063782,-0.093237,0.00245,172.683807,-6.665156,82.475388
127.867252,86.975539,-949.215445,-0.184949,-0.037878,-0.079946,0.00245,172.663966,-6.669675,82.482996
128.599317,82.398758,-940.388491,-0.18953,-0.029809,-0.07021,0.002425,172.645332,-6.676117,82.489144
132.137628,85.417008,-930.281426,-0.193043,-0.026079,-0.063374,0.002475,172.624417,-6.684808,82.494692
143.362616,98.92871,-925.107135,-0.19457,-0.013376,-0.056002,0.002425,172.599358,-6.699254,82.49985
156.234749,105.330035,-922.477821,-0.195181,0.035367,-0.046452,0.002475,172.571444,-6.725094,82.504929
166.910688,97.773975,-918.046646,-0.19289,0.126237,-0.031256,0.002425,172.54712,-6.767213,82.509133
169.77794,81.933037,-907.412749,-0.186476,0.244357,-0.017199,0.002425,172.528886,-6.827275,82.512916
167.15471,68.793423,-895.205349,-0.173953,0.339743,-0.009886,0.002475,172.516032,-6.901247,82.517025
160.017082,57.176864,-878.003809,-0.15868,0.382628,-0.010808,0.002425,172.509573,-6.978283,82.521449
157.881894,52.748992,-866.071543,-0.14463,0.374325,-0.016207,0.002475,172.505821,-7.054863,82.526438
162.335286,54.648271,-857.605471,-0.128746,0.331535,-0.029067,0.002425,172.503764,-7.125901,82.532362
167.520742,59.954912,-851.911883,-0.111947,0.284016,-0.041153,0.00245,172.501583,-7.19249,82.539435
175.878477,62.81239,-851.805616,-0.090871,0.252606,-0.051031,0.00245,172.501155,-7.257183,82.547432
181.307955,64.861139,-849.319936,-0.062922,0.242638,-0.061369,0.00245,172.503611,-7.322071,82.556785
187.225476,62.522107,-847.362113,-0.033905,0.255573,-0.071041,0.00245,172.510681,-7.390518,82.567616
187.408492,62.939369,-845.133773,-0.004276,0.271813,-0.082762,0.002425,172.521439,-7.460428,82.580248
186.859444,61.703871,-843.60639,0.025352,0.282682,-0.096998,0.00245,172.53632,-7.531557,82.595158
187.347487,61.112854,-844.559604,0.056966,0.281916,-0.116472,0.00245,172.555405,-7.601939,82.612738
184.907272,56.428106,-845.157114,0.087816,0.274318,-0.139589,0.00245,172.580033,-7.669577,82.633171
182.589068,55.563557,-847.615686,0.119888,0.261295,-0.16633,0.002425,172.60882,-7.733142,82.65678
176.488531,56.859106,-853.139285,0.15196,0.246565,-0.195825,0.00245,172.641153,-7.791564,82.684565
167.886774,55.358076,-856.624395,0.184185,0.227298,-0.224031,0.00245,172.67797,-7.843167,82.715863
158.552953,58.035771,-863.766304,0.211064,0.202505,-0.250083,0.00245,172.7171,-7.886745,82.750477
147.083943,62.739434,-870.996975,0.236264,0.1705,-0.272806,0.00245,172.757655,-7.920676,82.787919
